molecule_chembl_id,canonical_smiles,standard_value,class
CHEMBL187677,C[C@H]1CCc2c(N3CCC(O)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23.N=C(N)NCCC[C@H](N)C(=O)O.O.O.O.O,5.0,active
CHEMBL363449,CC1CCc2c(N3CCC(O)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,10.0,active
CHEMBL8,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,5.0,active
CHEMBL192226,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(/C=C\F)c3c2F)CC1,72.2,active
CHEMBL371124,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(/C=C/F)c3c2F)CC1,664.0,active
CHEMBL6273,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CCF)c3c2F)CC1,68.5,active
CHEMBL220656,COc1c(-c2cc(C)nc(C)c2)c(F)cc2c(=O)c3c(=O)[nH]sc3n(C3CC3)c12,3200.0,intermediate
CHEMBL219534,COc1c(-c2ccnc(C)c2)c(F)cc2c(=O)c3c(=O)[nH]sc3n(C3CC3)c12,1600.0,intermediate
CHEMBL436512,COc1c(-c2ccc3c(c2)CN[C@@H]3C)c(F)cc2c(=O)c3c(=O)[nH]sc3n(C3CC3)c12,2100.0,inactive
CHEMBL219216,COc1c(-c2ccc3c(c2)CNC3)c(F)cc2c(=O)c3c(=O)[nH]sc3n(C3CC3)c12,2000.0,intermediate
CHEMBL32,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,28000.0,active
CHEMBL430,CO/N=C1\CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1CN,5600.0,active
CHEMBL458404,CCC(=O)O/N=C(/C)N1N=C(C)CC1c1ccccc1OCc1ccc(F)cc1,125.0,active
CHEMBL463657,CC1=NN(/C(C)=N\OC(=O)c2cccnc2)C(c2ccc(OCc3ccc(F)cc3)cc2)C1,3.5,active
CHEMBL36506,CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C,0.28,active
CHEMBL457468,COC1CC(c2ccccc2)=NN1/C(C)=N\OC(=O)c1ccco1,4.0,active
CHEMBL515530,COC1CC(c2ccccc2)=NN1/C(C)=N\OC(=O)c1ccc(C(F)(F)F)cc1,0.125,active
CHEMBL513945,C/C(=N/OC(=O)c1ccco1)N1N=C(c2ccc(Cl)cc2Cl)CC1c1ccc(C(F)(F)F)cc1,0.5,active
CHEMBL458367,C/C(=N/OC(=O)c1ccco1)N1N=C(c2ccc(Cl)cc2Cl)CC1c1ccccc1F,0.125,active
CHEMBL457095,C=CC(=O)O/N=C(/C)N1N=C(c2ccc(Cl)cc2Cl)CC1c1ccccc1F,0.5,active
CHEMBL463832,CC1=NN2C(C1)c1ccccc1CC2(C)C,0.25,active
CHEMBL494577,O=C(O)c1cn2c3c(c(N4C[C@H](CNC5CC5)[C@H](F)C4)c(F)cc3c1=O)OC[C@@H]2CF,1.06,active
CHEMBL278255,NC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)C1,1.15,active
CHEMBL5315124,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23.C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23.O,9.31,active
CHEMBL455851,Cc1oc(-c2ccc(F)cc2F)nc1N1N=C(c2ccc(Cl)cc2Cl)CC1N1CCc2ccccc2C1,0.5,active
CHEMBL458024,Cc1oc(-c2ccccc2F)nc1N1N=C(c2ccc(Cl)cc2Cl)CC1N1CCc2ccccc2C1,5.5,intermediate
CHEMBL514755,C=Cc1ccccc1-c1nc(N2N=C(c3ccccc3F)CC2N2CCc3ccccc3C2)c(C)o1,125.0,intermediate
CHEMBL518413,Cc1oc(-c2ccc(F)cc2F)nc1N1N=C(c2ccc(-c3ccco3)cc2)CC1N1CCc2ccccc2C1,0.125,intermediate
CHEMBL474679,COc1ccc2c(c1)CN(C1CC(c3ccc(Cl)cc3Cl)=NN1c1nc(-c3ccc(F)cc3F)oc1C)CC2,0.5,inactive
CHEMBL476829,COc1ccc2c(c1)CN(C1CC(c3ccccc3F)=NN1c1nc(-c3ccccc3F)oc1C)CC2,4.0,active
CHEMBL446121,COc1ccc2c(c1)CN(C1CC(c3ccc(-c4ccco4)cc3)=NN1c1nc(-c3ccc(F)cc3F)oc1C)CC2,0.25,intermediate
CHEMBL500220,COc1ccc2c(c1)CN(C1CC(c3ccc(-c4ccco4)cc3)=NN1c1nc(-c3ccccc3C(F)(F)F)oc1C)CC2,0.25,intermediate
CHEMBL390983,COc1c(N2CC[C@@H](C3(N)CC3)C2)ccc2c(=O)c(C(=O)O)cn([C@@H]3C[C@@H]3F)c12,0.835,inactive
CHEMBL31,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,3.22,inactive
CHEMBL215303,C[C@H]1NCc2cc(-c3ccc4c(=O)c(C(=O)O)cn(C5CC5)c4c3OC(F)F)ccc21,3.59,inactive
CHEMBL1276635,CC[C@@H]1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2OC)C1,1100.0,active
CHEMBL1276666,CC[C@@H]1CCN(c2c(F)cc3c(=O)n(N)c(=O)n(C4CC4)c3c2OC)C1,2300.0,inactive
CHEMBL1276667,CC[C@@H]1CCN(c2c(F)cc3c(=O)n(N)c(=O)n(C4CC4)c3c2C)C1,1600.0,inactive
CHEMBL1276697,CC[C@@H]1CCN(c2c(F)cn3c(=O)n(N)c(=O)c(C4CC4)c3c2OC)C1,36500.0,intermediate
CHEMBL1774147,COc1c(N2CC[C@@H]([C@H](C)N)C2)c(F)cc2c(=O)c3c(=O)[nH]sc3n(C3CC3)c12,680.0,inactive
CHEMBL1774153,CN[C@@H](C)[C@@H]1CCN(c2c(F)cc3c(=O)c4c(=O)[nH]sc4n(C4CC4)c3c2OC)C1,1100.0,active
CHEMBL1774264,COc1c(N2CC[C@@H]([C@H](C)NCCF)C2)c(F)cc2c(=O)c3c(=O)[nH]sc3n(C3CC3)c12,1320.0,active
CHEMBL1256993,COc1c(N2CC[C@@H](C(C)(C)N)C2)c(F)cc2c(=O)c3c(=O)[nH]sc3n(C3CC3)c12,680.0,inactive
CHEMBL2158049,COc1ccc2nccc(C(O)CC[C@@H]3CCN(CCC(=O)N4CCCCC4)C[C@@H]3C(=O)O)c2c1,10600.0,intermediate
CHEMBL2158048,COc1ccc2nccc(C(O)CC[C@@H]3CCN(CCSc4ccc(C(=O)O)[se]4)C[C@@H]3C(=O)O)c2c1,100000.0,intermediate
CHEMBL2158047,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(CCSc4ccc(C#N)[se]4)C[C@@H]3C(=O)O)c2c1,36600.0,intermediate
CHEMBL2158045,COc1ccc2nccc([C@H](O)CC[C@@H]3CCN(CCSc4ccc(C=O)[se]4)C[C@@H]3C(=O)O)c2c1,8900.0,intermediate
CHEMBL2158044,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(CCSc4ccc(C(F)F)[se]4)C[C@@H]3C(=O)O)c2c1,21200.0,intermediate
CHEMBL2158043,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(CCS(=O)(=O)c4ccc[se]4)C[C@@H]3C(=O)O)c2c1,100000.0,intermediate
CHEMBL2158041,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(CCSc4ccc[se]4)C[C@@H]3C(=O)O)c2c1,400.0,intermediate
CHEMBL2158040,COc1ccc2nccc([C@H](O)CC[C@@H]3CCN(CCSc4ccc[se]4)C[C@@H]3C(=O)O)c2c1,700.0,intermediate
CHEMBL2159979,COc1ccc2nccc([C@H](O)CC[C@@H]3CCN(CCSc4sccc4P(=O)(O)O)C[C@@H]3C(=O)O)c2c1,100000.0,intermediate
CHEMBL2159978,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(CCSc4sccc4P(=O)(OC(C)C)OC(C)C)C[C@@H]3C(=O)O)c2c1,100000.0,intermediate
CHEMBL2159976,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(CCSc4cccs4)C[C@@H]3C(=O)O)c2c1,1400.0,inactive
CHEMBL2159975,COc1ccc2nccc([C@H](O)CC[C@@H]3CCN(CCSc4cccs4)C[C@@H]3C(=O)O)c2c1,3300.0,inactive
CHEMBL2159974,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(CCSc4ccco4)C[C@@H]3C(=O)O)c2c1,4700.0,intermediate
CHEMBL2159973,COc1ccc2nccc([C@H](O)CC[C@@H]3CCN(CCSc4ccco4)C[C@@H]3C(=O)O)c2c1,10200.0,intermediate
CHEMBL2205317,C=C1CC[C@@H](O[C@H]2C[C@@](O)([C@H](C)NC(=O)c3[nH]cc(Cl)c3Cl)[C@H](O)[C@@H](C)O2)[C@@H]2C=C[C@H](C)C(/C(O)=C3\C(=O)[C@H](C(C)C)N([C@H]4O[C@H](C)[C@H](OC(N)=O)[C@H](OC(C)=O)[C@@H]4OC)C3=O)[C@@H]12,400.0,intermediate
CHEMBL2205318,C=C1CC[C@@H](O[C@H]2C[C@@](O)([C@H](C)NC(=O)c3[nH]c(C)c(Cl)c3Cl)[C@H](O)[C@@H](C)O2)[C@@H]2C=C[C@H](C)C(/C(O)=C3\C(=O)[C@H](C(C)C)N([C@H]4O[C@H](C)[C@H](OC(N)=O)[C@H](OC(C)=O)[C@@H]4OC)C3=O)[C@@H]12,9.0,inactive
CHEMBL2382284,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(C4CC(c5ccn[nH]5)C4)C[C@@H]3C(=O)O)c2c1,25000.0,intermediate
CHEMBL2382283,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(C4CC(c5ccn(C)n5)C4)C[C@@H]3C(=O)O)c2c1,19000.0,inactive
CHEMBL2380332,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(C4CC(c5ccncn5)C4)C[C@@H]3C(=O)O)c2c1,19000.0,intermediate
CHEMBL2382282,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(C4CC(c5ccnc(C)n5)C4)C[C@@H]3C(=O)O)c2c1,50000.0,inactive
CHEMBL2380334,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(C4CC(c5ccno5)C4)C[C@@H]3C(=O)O)c2c1,3130.0,intermediate
CHEMBL2382388,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(C4CC(c5ncc(C)o5)C4)C[C@@H]3C(=O)O)c2c1,6250.0,intermediate
CHEMBL2382387,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(C/C=C/c4ccccc4)C[C@@H]3C(=O)O)c2c1,4700.0,inactive
CHEMBL2382386,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(C4CC(c5cc(SC)ccc5F)C4)C[C@@H]3C(=O)O)c2c1,3130.0,intermediate
CHEMBL2382385,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(C4CC(c5cccc(SC)c5)C4)C[C@@H]3C(=O)O)c2c1,4700.0,intermediate
CHEMBL2382384,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(C4CC(c5ccccc5SC)C4)C[C@@H]3C(=O)O)c2c1,3130.0,intermediate
CHEMBL2382383,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(C4CC(c5cc(C#N)ccc5F)C4)C[C@@H]3C(=O)O)c2c1,9400.0,intermediate
CHEMBL2382382,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(C4CC(c5cc(F)cc(F)c5OC)C4)C[C@@H]3C(=O)O)c2c1,6250.0,intermediate
CHEMBL2380333,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(C4CC(c5cc(F)ccc5C(F)(F)F)C4)C[C@@H]3C(=O)O)c2c1,9400.0,intermediate
CHEMBL2382381,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(C4CC(c5c(F)ccc(F)c5OC)C4)C[C@@H]3C(=O)O)c2c1,3130.0,intermediate
CHEMBL2382380,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(C4CC(c5c(OC)ccc(F)c5F)C4)C[C@@H]3C(=O)O)c2c1,1560.0,intermediate
CHEMBL2382379,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(C4CC(c5cc(F)ccc5C)C4)C[C@@H]3C(=O)O)c2c1,2300.0,intermediate
CHEMBL2382378,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(C4CC(c5ccccc5C(F)(F)F)C4)C[C@@H]3C(=O)O)c2c1,1560.0,intermediate
CHEMBL2382377,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(C4CC(c5cc(Br)ccc5F)C4)C[C@@H]3C(=O)O)c2c1,3130.0,intermediate
CHEMBL2382376,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(C4CC(c5cc(F)ccc5OC)C4)C[C@@H]3C(=O)O)c2c1,12500.0,inactive
CHEMBL2382375,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(C4CC(c5c(F)cccc5C(F)(F)F)C4)C[C@@H]3C(=O)O)c2c1,19000.0,intermediate
CHEMBL2382374,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(C4CC(c5c(F)cccc5OC)C4)C[C@@H]3C(=O)O)c2c1,12500.0,inactive
CHEMBL2382373,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(C4CC(c5cccc(F)c5F)C4)C[C@@H]3C(=O)O)c2c1,1560.0,inactive
CHEMBL2382372,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(C4CC(c5cc(F)cc(F)c5F)C4)C[C@@H]3C(=O)O)c2c1,1560.0,intermediate
CHEMBL2382371,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(C4CC(c5ccccc5OC)C4)C[C@@H]3C(=O)O)c2c1,6250.0,intermediate
CHEMBL2382370,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(C4CC(c5cc(Cl)ccc5F)C4)C[C@@H]3C(=O)O)c2c1,1560.0,inactive
CHEMBL2382369,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(C4CC(c5cc(F)c(OC)cc5F)C4)C[C@@H]3C(=O)O)c2c1,50000.0,intermediate
CHEMBL2382368,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(C4CC(c5cc(F)c(Cl)cc5F)C4)C[C@@H]3C(=O)O)c2c1,4700.0,intermediate
CHEMBL2382367,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(C4CC(c5ccc(C#N)cc5)C4)C[C@@H]3C(=O)O)c2c1,50000.0,inactive
CHEMBL2382366,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(C4CC(c5cccc(C#N)c5)C4)C[C@@H]3C(=O)O)c2c1,9400.0,intermediate
CHEMBL2382365,COc1ccc(C2CC(N3CC[C@@H](CC[C@H](O)c4ccnc5ccc(OC)cc45)[C@@H](C(=O)O)C3)C2)c(F)c1,50000.0,intermediate
CHEMBL2382364,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(C4CC(c5cc(F)cc(F)c5)C4)C[C@@H]3C(=O)O)c2c1,1560.0,intermediate
CHEMBL2382363,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(C4CC(c5ccc(F)c(C#N)c5)C4)C[C@@H]3C(=O)O)c2c1,3130.0,active
CHEMBL2382362,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(C4CC(c5cccc(OC)c5F)C4)C[C@@H]3C(=O)O)c2c1,19000.0,active
CHEMBL2382361,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(C4CC(c5ccc(F)c(F)c5F)C4)C[C@@H]3C(=O)O)c2c1,3130.0,active
CHEMBL2382360,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(C4CC(c5ccc(Br)cc5F)C4)C[C@@H]3C(=O)O)c2c1,6250.0,active
CHEMBL2382359,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(C4CC(c5c(F)ccc(F)c5F)C4)C[C@@H]3C(=O)O)c2c1,1560.0,active
CHEMBL2382358,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(C4CC(c5ccc(C(F)(F)F)cc5F)C4)C[C@@H]3C(=O)O)c2c1,6250.0,active
CHEMBL2382357,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(C4CC(c5cccc(C(F)(F)F)c5F)C4)C[C@@H]3C(=O)O)c2c1,6250.0,active
CHEMBL2382356,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(C4CC(c5cc(F)c(F)cc5F)C4)C[C@@H]3C(=O)O)c2c1,1560.0,active
CHEMBL2382355,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(C4CC(c5cccc(Cl)c5F)C4)C[C@@H]3C(=O)O)c2c1,2400.0,active
CHEMBL2382354,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(C4CC(c5cc(C)ccc5F)C4)C[C@@H]3C(=O)O)c2c1,1560.0,active
CHEMBL2382353,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(C4CC(c5c(F)cc(F)cc5F)C4)C[C@@H]3C(=O)O)c2c1,6250.0,active
CHEMBL2382352,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(C4CC(c5ccc(Cl)cc5F)C4)C[C@@H]3C(=O)O)c2c1,6250.0,active
CHEMBL2382351,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(C4CC(c5c(F)ccc(Cl)c5F)C4)C[C@@H]3C(=O)O)c2c1,3130.0,active
CHEMBL2382350,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(C4CC(c5cc(C(F)(F)F)ccc5F)C4)C[C@@H]3C(=O)O)c2c1,25000.0,active
CHEMBL2382349,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(C4CC(c5c(F)cccc5Cl)C4)C[C@@H]3C(=O)O)c2c1,4700.0,active
CHEMBL2382348,COc1ccc(F)c(C2CC(N3CC[C@@H](CC[C@H](O)c4ccnc5ccc(OC)cc45)[C@@H](C(=O)O)C3)C2)c1,50000.0,active
CHEMBL2382347,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(C4CC(c5cccc(F)c5C)C4)C[C@@H]3C(=O)O)c2c1,25000.0,active
