molecule_chembl_id,canonical_smiles,pIC50,MW,LogP,TPSA
CHEMBL3094348,CCNC(=O)Nc1nc2cc(-c3ccc(C(=O)O)nc3)cc(-c3ccccn3)c2s1,9.0,419.4660000000001,4.259900000000002,117.10000000000001
CHEMBL3094347,CCNC(=O)Nc1nc2cc(-c3cccnc3)cc(-c3ccccn3)c2s1,7.853871964321762,375.4570000000001,4.561700000000003,79.8
CHEMBL515530,COC1CC(c2ccccc2)=NN1/C(C)=N\OC(=O)c1ccc(C(F)(F)F)cc1,6.903089986991944,405.3760000000001,4.278100000000004,63.49
CHEMBL463832,CC1=NN2C(C1)c1ccccc1CC2(C)C,6.6020599913279625,214.31199999999995,3.144000000000002,15.6
CHEMBL390983,COc1c(N2CC[C@@H](C3(N)CC3)C2)ccc2c(=O)c(C(=O)O)cn([C@@H]3C[C@@H]3F)c12,6.078313524516398,401.4380000000001,2.3088000000000006,97.78999999999999
CHEMBL4175527,Fc1ccc(-n2nnnc2NCc2ccco2)cc1Cl,6.045757490560675,293.6890000000001,2.6599000000000013,68.77000000000001
CHEMBL494577,O=C(O)c1cn2c3c(c(N4C[C@H](CNC5CC5)[C@H](F)C4)c(F)cc3c1=O)OC[C@@H]2CF,5.97469413473523,437.41800000000023,2.2681000000000004,83.8
CHEMBL278255,NC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)C1,5.939302159646388,365.79200000000014,2.3644999999999996,88.56
CHEMBL5288212,Cc1[nH]c(C(=O)Nc2nc3c(N4CCOCC4)cc(C(=O)O)cc3s2)c(Cl)c1Cl,5.913640169325252,455.3230000000001,4.026720000000002,107.55
CHEMBL4127899,COc1cc2c(c(O)c1C(C)=O)C(=O)CC(C)(C)O2,5.730487055782084,264.27699999999993,2.347200000000001,72.83
CHEMBL4127930,COc1cc(OC)c2c(c1C(C)=O)OC(C)(C)C(O)C2Br,5.730487055782084,359.21599999999995,2.8743000000000016,64.99000000000001
CHEMBL4127938,COc1c(Br)c(OC)c(C(C)=O)c2c1C=CC(C)(C)O2,5.730487055782084,341.2010000000001,3.853100000000003,44.760000000000005
CHEMBL4126781,COc1c(Cl)c(OC)c2c(c1C(C)=O)OC(C)(C)C(OC)C2Cl,5.730487055782084,363.2370000000001,4.025700000000003,53.99000000000001
CHEMBL4126667,COc1c(Br)c(OC)c2c(c1C(C)=O)OC(C)(C)C(OC)C2Br,5.730487055782084,452.1390000000001,4.290900000000003,53.99000000000001
CHEMBL4129139,COc1cc2c(c(OC)c1C(C)=O)[C@H](O)[C@H](O)C(C)(C)O2,5.730487055782084,296.3190000000001,1.4716999999999998,85.22000000000001
CHEMBL4128711,COc1cc(OC)c2c(c1C(C)=O)OC(C)(C)[C@@H](O)[C@H]2O,5.730487055782084,296.31899999999996,1.4716999999999998,85.22000000000001
CHEMBL4129934,COc1cc(OS(=O)(=O)C(F)(F)F)c2c(c1C(C)=O)OC(C)(C)C=C2,5.6020599913279625,380.3400000000001,3.3104000000000022,78.9
CHEMBL31,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,5.492144128304169,375.40000000000015,1.9804,83.80000000000001
CHEMBL4129335,COc1c(Cl)c(O)c2c(c1C(C)=O)OC(C)(C)C(OC)C2Cl,5.455931955649724,349.21000000000004,3.7227000000000032,64.99000000000001
CHEMBL215303,C[C@H]1NCc2cc(-c3ccc4c(=O)c(C(=O)O)cn(C5CC5)c4c3OC(F)F)ccc21,5.444905551421681,426.41900000000015,4.467200000000004,80.56000000000002
CHEMBL4070524,CCNC(=O)Nc1cc2c(-c3ccncc3)ccc(CNC(=O)OCCO)c2cn1,5.3979400086720375,409.4460000000002,2.6567000000000007,125.47000000000001
CHEMBL4064539,CCNC(=O)Nc1cc2c(-c3ccncc3)ccc(CNC(=O)OC)c2cn1,5.3979400086720375,379.42000000000013,3.294200000000002,105.24000000000001
CHEMBL4099469,CCNC(=O)Nc1cc2c(-c3ccnc(C)c3)ccc(CNC(=O)C3CC3)c2cn1,5.3979400086720375,403.4860000000002,3.772820000000003,96.01
CHEMBL4099988,CCNC(=O)Nc1cc2c(-c3ccncc3)ccc(CNC(=O)OC(C)C)c2cn1,5.3979400086720375,407.47400000000016,4.072800000000003,105.24000000000001
CHEMBL5590170,COc1ccc2ncc(F)c(CCN3CCC(NCc4ccc(C)cc4)CC3)c2n1,5.3979400086720375,408.5210000000002,3.882620000000003,50.28
CHEMBL457468,COC1CC(c2ccccc2)=NN1/C(C)=N\OC(=O)c1ccco1,5.3979400086720375,327.3400000000001,2.8523000000000014,76.63
CHEMBL8,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,5.301029995663981,331.34700000000004,1.5833,74.57
CHEMBL4127740,COc1cc(O)c2c(c1C(C)=O)OC(C)(C)C=C2,5.1249387366083,248.27799999999996,2.787600000000001,55.760000000000005
CHEMBL4448131,O=C1COc2ccc(N3C[C@H](CCCN[C@@H]4Cn5c(=O)ccc6ccc(F)c4c65)OC3=O)nc2N1,5.096910013008056,479.4680000000002,2.3163999999999993,114.79
CHEMBL4091200,CCNC(=O)Nc1cc2c(-c3ccnc(C)c3)ccc(COC(=O)N[C@@H]3CCNC[C@H]3F)c2cn1,5.096910013008056,480.54400000000027,3.6728200000000024,117.27
CHEMBL4071960,CCNC(=O)Nc1cc2c(-c3ccnc(C)c3)ccc(COC(=O)N[C@@H]3CCNC[C@@H]3F)c2cn1,5.096910013008056,480.54400000000027,3.6728200000000024,117.27
CHEMBL4098937,CCNC(=O)Nc1cc2c(-c3ccnc(C)c3)ccc(COC(=O)NC3CCNCC3)c2cn1,5.096910013008056,462.5540000000003,3.724820000000002,117.27
CHEMBL4087439,CCNC(=O)Nc1cc2c(-c3ccnc(C)c3)ccc(COC(=O)N3CCN(C)CC3)c2cn1,5.096910013008056,462.55400000000037,3.630620000000003,99.68999999999998
